中文名,出现次数,主面料本,建议英文翻译,生成方式
中麻灰斜纹,1,6413,medium heather twill,规则生成
亮水绿,1,6401,,待确认(亮水绿)
亮绯红,1,6410,bright scarlet,规则生成
冬日蓝,2,6401,winter blue,规则生成
冰灰,1,6401,ice grey,规则生成
勃艮第,4,6401,Burgundy,已有词典
勃艮第红,1,6401,burgundy red,规则生成
午夜蓝,2,6401,midnight blue,规则生成
午夜蓝黑,1,6410,midnight blue-black,规则生成
卡其,6,6401,khaki,规则生成
可可棕,1,6402,cocoa brown,规则生成
咖啡棕,1,6401,coffee brown,规则生成
哑光中钢蓝,1,6410,matt medium steel blue,规则生成
哑光白,1,6402,matt white,规则生成
哑光粉,1,6401,matt pink,规则生成
坚果棕,3,6403,Walnut brown,已有词典
复古玫瑰,3,6402,vintage rose,规则生成
天蓝,1,6401,sky blue,规则生成
奶油白,1,6401,cream white,规则生成
奶油米白,1,6410,creamy off-white,规则生成
孔雀蓝,2,6401,peacock blue,规则生成
宝蓝,4,6401,royal blue,规则生成
巧克力,1,6401,chocolate,规则生成
巧克力棕,3,6402,chocolate brown,规则生成
干邑棕,1,6401,,待确认(干邑棕)
开心果绿,1,6410,pistachio green,规则生成
暖沙棕,1,6410,Warm sand brown,已有词典
暖红棕,1,6410,warm reddish brown,规则生成
暖驼色,1,6416,warm camel,规则生成
更深藏青,2,6410,darker navy,规则生成
最深黑灰,1,6411,deepest black grey,规则生成
松柏绿,1,6401,pine green,规则生成
松石绿,1,6401,turquoise,规则生成
松绿,1,6401,pine green,规则生成
极淡蓝灰,1,6410,very pale blue grey,规则生成
极淡薄荷绿,1,6410,Very pale mint green,已有词典
极深咖啡棕,1,6410,very dark coffee brown,规则生成
极深夜蓝,1,6416,very dark night blue,规则生成
极深棕,1,6413,very dark brown,规则生成
极深棕炭,1,6416,very dark brown charcoal,规则生成
极深棕近黑,1,6414,very dark brown near-black,规则生成
极深森林绿,2,6410,very dark forest green,规则生成
极深灰近黑,1,6411,very dark grey near-black,规则生成
极深炭斜纹,1,6411,very dark charcoal twill,规则生成
极深炭棕近黑,1,6410,,待确认(极深炭棕近黑)
极深炭淡竖条纹,1,6411,,待确认(极深炭淡竖条纹)
极深炭灰,2,6412,very dark charcoal grey,规则生成
极深炭灰微粒纹,1,6413,very dark charcoal grey micro-granule,规则生成
极深炭灰窗格,1,6412,very dark charcoal grey windowpane,规则生成
极深炭灰竖纹,1,6413,very dark charcoal grey vertical stripe,规则生成
极深炭灰细竖纹,2,6412,very dark charcoal grey fine vertical stripe,规则生成
极深炭紫人字纹,1,6414,very dark charcoal purple herringbone,规则生成
极深炭绿,1,6410,very dark charcoal green,规则生成
极深炭麻灰,1,6412,very dark charcoal heather,规则生成
极深炭黑,1,6410,very dark carbon black,规则生成
极深炭黑格伦格纹,1,6411,very dark carbon black glen check,规则生成
极深石油蓝,1,6410,very dark petrol blue,规则生成
极深茄子紫,1,6410,very dark aubergine purple,规则生成
极深藏青微格,2,6411,very dark navy mini check,规则生成
极深藏青深蓝细条纹,1,6411,very dark navy dark blue fine stripe,规则生成
极深藏青炭黑,1,6411,very dark navy carbon black,规则生成
极深藏青细斜纹,1,6411,very dark navy fine twill,规则生成
极深藏青细竖纹,1,6412,very dark navy fine vertical stripe,规则生成
极深藏青近黑,3,6410,very dark navy near-black,规则生成
栗棕,1,6401,,待确认(栗棕)
核桃棕,1,6401,walnut brown,规则生成
格伦格纹,1,6411,glen check,规则生成
桃花心木红棕,1,6410,mahogany,规则生成
梅子紫,1,6401,plum purple,规则生成
棕灰人字纹,1,6413,brown grey herringbone,规则生成
棕灰格伦格纹,1,6413,brown grey glen check,规则生成
棕色,7,6401,Brown,已有词典
森林绿,4,6401,Forest green,已有词典
橄榄,4,6403,Olive,已有词典
橄榄绿,5,6401,Olive green,已有词典
橄榄褐苔绿,1,6410,,待确认(橄榄褐苔绿)
水绿,1,6401,,待确认(水绿)
沙色浅驼,1,6415,,待确认(沙色浅驼)
浅卡其,2,6401,light khaki,规则生成
浅卡其棕绿,1,6410,light khaki olive,规则生成
浅奶油人字纹,1,6411,light cream herringbone,规则生成
浅奶油白,1,6416,light cream white,规则生成
浅奶油米白,2,6410,light creamy off-white,规则生成
浅奶油象牙白,1,6410,,待确认(浅奶油象牙白)
浅奶油黄油白,1,6410,,待确认(浅奶油黄油白)
浅棕褐人字纹,1,6413,,待确认(浅棕褐人字纹)
浅棕褐细竖纹,1,6412,,待确认(浅棕褐细竖纹)
浅橄榄,1,6401,light olive,规则生成
浅沙米,1,6416,,待确认(浅沙米)
浅沙褐,1,6410,,待确认(浅沙褐)
浅泡泡糖粉,1,6410,,待确认(浅泡泡糖粉)
浅海沫绿,1,6410,Light seafoam green,已有词典
浅灰,4,6401,light grey,规则生成
浅灰格伦格纹,2,6412,light grey glen check,规则生成
浅灰白格,1,6401,light grey-white check,规则生成
浅灰蓝麻灰,1,6415,light grey blue heather,规则生成
浅灰褐,3,6415,light grey brown,规则生成
浅灰褐斜纹,1,6411,light grey brown twill,规则生成
浅灰麻灰,2,6412,light grey heather,规则生成
浅焦糖棕,1,6410,,待确认(浅焦糖棕)
浅燕麦灰,1,6410,,待确认(浅燕麦灰)
浅牛仔,1,6401,,待确认(浅牛仔)
浅米沙色,1,6415,,待确认(浅米沙色)
浅米燕麦,3,6412,light beige oat,规则生成
浅米燕麦麻灰,1,6416,light beige oat heather,规则生成
浅米石灰白,1,6410,,待确认(浅米石灰白)
浅米褐,3,6410,Light beige brown,已有词典
浅紫,1,6401,light purple,规则生成
浅绿,1,6401,light green,规则生成
浅蓝,1,6401,light blue,规则生成
浅蓝灰,1,6410,light blue grey,规则生成
浅蘑菇棕,1,6410,light mushroom brown,规则生成
浅褐,1,6401,,待确认(浅褐)
浅钢灰十字纹,1,6414,,待确认(浅钢灰十字纹)
浅银灰,1,6410,light silver grey,规则生成
浅银灰格伦格纹,1,6413,light silver grey glen check,规则生成
浅银灰麻灰,1,6416,light silver grey heather,规则生成
浅银麻灰,1,6410,,待确认(浅银麻灰)
浅香槟米,1,6410,,待确认(浅香槟米)
浅驼麻灰,1,6416,,待确认(浅驼麻灰)
浅鼠尾草绿,1,6410,light sage green,规则生成
淡玫瑰粉,1,6410,,待确认(淡玫瑰粉)
淡粉,1,6401,pale pink,规则生成
淡黄,1,6401,,待确认(淡黄)
深丁香,1,6401,,待确认(深丁香)
深午夜蓝,1,6413,dark midnight blue,规则生成
深午夜蓝紫调,1,6413,,待确认(深午夜蓝紫调)
深卡其,1,6401,dark khaki,规则生成
深卡其橄榄褐,1,6410,,待确认(深卡其橄榄褐)
深咖啡棕,2,6410,Dark coffee brown,已有词典
深咖啡近黑,1,6410,,待确认(深咖啡近黑)
深夜蓝,1,6412,dark night blue,规则生成
深夜蓝近黑,2,6412,dark midnight near-black,规则生成
深夜蓝黑,1,6411,,待确认(深夜蓝黑)
深宝蓝,2,6410,dark royal blue,规则生成
深巧克力棕,4,6410,dark chocolate brown,规则生成
深巧克力棕人字纹,1,6414,dark chocolate brown herringbone,规则生成
深巧克力棕微紫,1,6410,,待确认(深巧克力棕微紫)
深巧克力棕细竖纹,1,6414,dark chocolate brown fine vertical stripe,规则生成
深巧克力炭棕,1,6411,,待确认(深巧克力炭棕)
深巧克力酒红,1,6410,,待确认(深巧克力酒红)
深松绿近黑,1,6410,,待确认(深松绿近黑)
深桃花心木棕,1,6414,,待确认(深桃花心木棕)
深梅紫,1,6410,dark plum,规则生成
深梅紫罗兰,1,6410,dark plum violet,规则生成
深棕,6,6401,Dark brown,已有词典
深棕灰人字纹浅蓝窗格,1,6411,dark brown grey herringbone with light-blue windowpane,规则生成
深棕灰咖啡,1,6411,,待确认(深棕灰咖啡)
深棕灰斜纹,3,6413,dark brown grey twill,规则生成
深棕灰细纹,1,6413,dark brown grey fine weave,规则生成
深棕灰褐,1,6414,,待确认(深棕灰褐)
深棕炭,1,6411,dark brown charcoal,规则生成
深棕炭人字纹,1,6412,dark brown charcoal herringbone,规则生成
深棕炭平滑,1,6411,,待确认(深棕炭平滑)
深棕粗织,1,6414,,待确认(深棕粗织)
深棕紫茄色,1,6415,,待确认(深棕紫茄色)
深棕红调,1,6415,,待确认(深棕红调)
深棕细纹,1,6411,dark brown fine weave,规则生成
深棕蜂巢纹,1,6411,,待确认(深棕蜂巢纹)
深森林绿,4,6401,dark forest green,规则生成
深森林绿麻灰,2,6415,dark forest green heather,规则生成
深橄榄,1,6402,dark olive,规则生成
深橄榄绿,1,6411,dark olive green,规则生成
深灰,6,6401,Dark grey,已有词典
深灰人字纹,2,6411,dark grey herringbone,规则生成
深灰鲨皮纹,1,6413,dark grey sharkskin,规则生成
深灰麻灰,1,6412,dark grey heather,规则生成
深炭极深藏青斜纹,1,6411,,待确认(深炭极深藏青斜纹)
深炭格伦格纹,1,6411,dark charcoal glen check,规则生成
深炭棕,2,6412,dark charcoal brown,规则生成
深炭棕人字纹,1,6411,dark charcoal brown herringbone,规则生成
深炭灰,10,6410,dark charcoal grey,规则生成
深炭灰人字纹,2,6411,dark charcoal grey herringbone,规则生成
深炭灰微格,1,6413,dark charcoal grey mini check,规则生成
深炭灰微粒纹,1,6412,dark charcoal grey micro-granule,规则生成
深炭灰斜纹,2,6410,dark charcoal grey twill,规则生成
深炭灰格伦格纹,1,6413,dark charcoal grey glen check,规则生成
深炭灰格纹,1,6413,dark charcoal grey check,规则生成
深炭灰粗斜纹,1,6411,,待确认(深炭灰粗斜纹)
深炭灰细人字纹,1,6413,dark charcoal grey fine herringbone,规则生成
深炭灰细斜纹,1,6413,dark charcoal grey fine twill,规则生成
深炭灰细竖条纹,1,6413,dark charcoal grey fine vertical stripe,规则生成
深炭灰细竖纹,1,6412,dark charcoal grey fine vertical stripe,规则生成
深炭灰细纹,3,6411,dark charcoal grey fine weave,规则生成
深炭灰细织,1,6414,dark charcoal grey fine weave,规则生成
深炭灰鲨皮纹,1,6413,dark charcoal grey sharkskin,规则生成
深炭灰麻灰,3,6414,dark charcoal grey heather,规则生成
深炭灰麻点,1,6413,,待确认(深炭灰麻点)
深炭竖条纹,1,6411,,待确认(深炭竖条纹)
深炭蓝,2,6410,dark charcoal blue,规则生成
深炭蓝浅蓝细条纹,1,6411,,待确认(深炭蓝浅蓝细条纹)
深炭蓝藏青,1,6410,,待确认(深炭蓝藏青)
深炭蓝调,1,6412,,待确认(深炭蓝调)
深炭藏青斜纹,1,6413,,待确认(深炭藏青斜纹)
深炭黑,1,6411,dark carbon black,规则生成
深炭黑人字纹,1,6411,dark carbon black herringbone,规则生成
深炭黑斜纹,1,6413,dark carbon black twill,规则生成
深炭黑白条纹,1,6413,,待确认(深炭黑白条纹)
深炭黑鸟眼纹,1,6412,dark carbon black birdseye,规则生成
深烟草棕,1,6410,,待确认(深烟草棕)
深牛仔,1,6401,,待确认(深牛仔)
深牛仔蓝,1,6401,dark denim blue,规则生成
深牛仔蓝斜纹,1,6414,dark denim blue twill,规则生成
深玫瑰红,1,6415,,待确认(深玫瑰红)
深石板灰,1,6413,,待确认(深石板灰)
深石板灰宽条纹,1,6413,,待确认(深石板灰宽条纹)
深石板蓝灰,2,6411,dark slate blue-grey,规则生成
深紫罗兰,1,6401,dark violet,规则生成
深紫酒红,1,6410,,待确认(深紫酒红)
深绿,4,6401,Dark green,已有词典
深茄紫,1,6414,,待确认(深茄紫)
深茄紫人字纹,1,6414,,待确认(深茄紫人字纹)
深蓝,5,6401,dark blue,规则生成
深蓝小犬牙纹,1,6411,,待确认(深蓝小犬牙纹)
深蓝灰,1,6413,dark blue grey,规则生成
深蓝细竖条纹,1,6413,dark blue fine vertical stripe,规则生成
深蓝细竖纹,1,6412,dark blue fine vertical stripe,规则生成
深蓝麻点纹,1,6413,dark blue granite,规则生成
深藏青,12,6410,Dark navy,已有词典
深藏青人字纹,1,6411,dark navy herringbone,规则生成
深藏青大窗格,1,6413,dark navy large windowpane,规则生成
深藏青宽条纹,1,6413,,待确认(深藏青宽条纹)
深藏青小方格,1,6411,,待确认(深藏青小方格)
深藏青席纹,1,6411,,待确认(深藏青席纹)
深藏青影条纹,1,6413,,待确认(深藏青影条纹)
深藏青微纹理,2,6412,dark navy micro-texture,规则生成
深藏青斜人字纹,1,6411,,待确认(深藏青斜人字纹)
深藏青斜纹,5,6411,dark navy twill,规则生成
深藏青暗格,1,6413,,待确认(深藏青暗格)
深藏青暗格伦,1,6413,,待确认(深藏青暗格伦)
深藏青格伦,1,6413,,待确认(深藏青格伦)
深藏青格伦格纹,1,6413,dark navy glen check,规则生成
深藏青炭人字纹,1,6411,,待确认(深藏青炭人字纹)
深藏青炭灰,1,6415,,待确认(深藏青炭灰)
深藏青素色,1,6412,dark navy plain,规则生成
深藏青紫窗格,1,6413,,待确认(深藏青紫窗格)
深藏青红紫条纹,1,6413,,待确认(深藏青红紫条纹)
深藏青细人字纹,2,6413,dark navy fine herringbone,规则生成
深藏青细斜纹,4,6411,dark navy fine twill,规则生成
深藏青细窗格,2,6412,dark navy fine windowpane,规则生成
深藏青细竖条纹,1,6411,dark navy fine vertical stripe,规则生成
深藏青细竖纹,1,6412,dark navy fine vertical stripe,规则生成
深藏青细纹,2,6411,dark navy fine weave,规则生成
深藏青细织,2,6413,dark navy fine weave,规则生成
深藏青钉头纹,1,6411,,待确认(深藏青钉头纹)
深藏青锐斜纹,1,6413,,待确认(深藏青锐斜纹)
深藏青鸟眼纹,3,6413,dark navy birdseye,规则生成
深藏青麻灰,1,6416,dark navy heather,规则生成
深藏青麻点,1,6412,,待确认(深藏青麻点)
深貂皮棕,1,6401,,待确认(深貂皮棕)
深酒红,1,6414,dark burgundy,规则生成
深酒红棕斜纹,1,6414,,待确认(深酒红棕斜纹)
深酒红麻灰,1,6416,dark burgundy heather,规则生成
深酒红麻点,1,6415,,待确认(深酒红麻点)
深锈红,1,6410,dark rust red,规则生成
深青绿,1,6410,dark teal,规则生成
深饱和蓝格纹,1,6413,,待确认(深饱和蓝格纹)
深驼色,1,6403,Dark camel,已有词典
深黑素色,1,6412,dark black plain,规则生成
湿沙米,1,6401,,待确认(湿沙米)
灰棕麻灰,1,6414,,待确认(灰棕麻灰)
灰玫瑰粉,1,6410,grey rose pink,规则生成
灰玫瑰褐,1,6415,grey rose brown,规则生成
灰紫,2,6410,grey purple,规则生成
灰紫酒红,1,6410,,待确认(灰紫酒红)
灰绿,1,6401,,待确认(灰绿)
灰色,4,6401,Grey,已有词典
灰蓝,1,6401,grey blue,规则生成
灰褐棕,2,6412,,待确认(灰褐棕)
炭灰格伦格纹,1,6413,charcoal grey glen check,规则生成
炭灰浅点,1,6414,,待确认(炭灰浅点)
炭灰深窗格,1,6412,,待确认(炭灰深窗格)
炭灰红灰细条纹,1,6411,charcoal grey red-grey fine stripe,规则生成
炭黑,1,6401,carbon black,规则生成
烟绿,1,6401,,待确认(烟绿)
烟草棕,1,6415,,待确认(烟草棕)
焦糖棕,1,6401,,待确认(焦糖棕)
牛仔,1,6401,,待确认(牛仔)
牛仔蓝,2,6401,denim blue,规则生成
玉米黄,1,6401,,待确认(玉米黄)
玫瑰粉,1,6401,,待确认(玫瑰粉)
白底浅绿条纹,1,6401,white with light green stripe,规则生成
白底浅蓝条纹,1,6401,white with light blue stripe,规则生成
白底浅蓝细条纹,1,6401,white with light blue fine stripe,规则生成
白底蓝灰条纹,1,6401,white with blue grey stripe,规则生成
白底蓝红格纹,1,6401,white with blue-red check,规则生成
白底酒红条纹,1,6401,white with burgundy stripe,规则生成
白色,2,6402,White,已有词典
石榴紫,1,6401,,待确认(石榴紫)
砖红,1,6401,brick red,规则生成
空气蓝,1,6401,,待确认(空气蓝)
米色,8,6402,Beige,已有词典
粉紫白格,1,6401,pink-purple-white check,规则生成
粉色,1,6401,Pink,已有词典
粉蓝,1,6402,,待确认(粉蓝)
紫罗兰,3,6401,violet,规则生成
紫色,1,6401,Purple,已有词典
红色,1,6401,Red,已有词典
纯炭黑,1,6413,pure carbon black,规则生成
纯白,1,6401,pure white,规则生成
纯黑,8,6416,pure black,规则生成
纯黑微亮,1,6413,,待确认(纯黑微亮)
纯黑斜纹,2,6410,pure black twill,规则生成
纯黑淡条纹,1,6413,,待确认(纯黑淡条纹)
纯黑竖纹,1,6411,pure black vertical stripe,规则生成
纯黑细织,2,6412,pure black fine weave,规则生成
经典深酒红,1,6410,,待确认(经典深酒红)
绿色,5,6402,Green,已有词典
自然米,1,6401,,待确认(自然米)
芝麻米,2,6401,sesame beige,规则生成
苔藓绿,1,6403,Moss green,已有词典
草绿,1,6401,,待确认(草绿)
草莓红,1,6401,,待确认(草莓红)
荷兰蓝,1,6401,,待确认(荷兰蓝)
蓝白灰格,1,6401,blue-white-grey check,规则生成
蓝紫,1,6401,,待确认(蓝紫)
蓝绿,1,6401,,待确认(蓝绿)
蓝色,9,6401,Blue,已有词典
蔓越莓红,1,6401,,待确认(蔓越莓红)
薄荷绿,1,6401,mint green,规则生成
藏青,5,6401,Navy,已有词典
藏青格伦格纹,1,6411,navy glen check,规则生成
藏青鸟眼纹,1,6413,navy birdseye,规则生成
血红,1,6401,,待确认(血红)
豆沙粉,1,6410,,待确认(豆沙粉)
象灰,1,6401,,待确认(象灰)
貂棕,4,6403,Mink brown,已有词典
貂皮棕,1,6401,,待确认(貂皮棕)
贝壳米,1,6401,,待确认(贝壳米)
赭石棕,1,6401,,待确认(赭石棕)
赭黄芥末黄,1,6410,,待确认(赭黄芥末黄)
近黑微纹理,1,6412,,待确认(近黑微纹理)
近黑棕,1,6415,near-black brown,规则生成
近黑深炭,1,6410,near-black dark charcoal,规则生成
近黑深藏青,1,6413,near-black dark navy,规则生成
近黑深酒红,1,6410,near-black dark burgundy,规则生成
近黑炭灰,4,6415,near-black charcoal grey,规则生成
近黑炭灰影条纹,1,6413,,待确认(近黑炭灰影条纹)
近黑炭灰斜纹,1,6413,near-black charcoal grey twill,规则生成
近黑炭灰竖条纹,1,6412,,待确认(近黑炭灰竖条纹)
近黑炭灰粗织,1,6414,,待确认(近黑炭灰粗织)
近黑炭灰细纹,1,6413,near-black charcoal grey fine weave,规则生成
近黑炭灰细织,1,6413,near-black charcoal grey fine weave,规则生成
近黑细织,1,6414,near-black fine weave,规则生成
近黑藏青,1,6415,near-black navy,规则生成
近黑藏青极淡格,1,6413,,待确认(近黑藏青极淡格)
近黑藏青细条纹,1,6413,near-black navy fine stripe,规则生成
近黑藏青细纹,1,6413,near-black navy fine weave,规则生成
近黑藏青细织,1,6413,near-black navy fine weave,规则生成
近黑藏青钉头纹,1,6413,,待确认(近黑藏青钉头纹)
郁金香紫,1,6401,,待确认(郁金香紫)
钢灰,1,6401,,待确认(钢灰)
钢蓝灰麻灰,1,6416,,待确认(钢蓝灰麻灰)
铁灰,1,6402,,待确认(铁灰)
银棕,1,6401,,待确认(银棕)
银灰,6,6401,Silver grey,已有词典
陶土橙,1,6415,,待确认(陶土橙)
陶土砖红,1,6410,,待确认(陶土砖红)
陶土红棕,1,6410,,待确认(陶土红棕)
靛蓝,3,6403,Indigo,已有词典
驼色,4,6402,Camel,已有词典
骆马色,1,6401,,待确认(骆马色)
麻绳米,3,6402,hemp beige,规则生成
黄油米,1,6401,,待确认(黄油米)
黑色,3,6401,Black,已有词典
鼠尾草绿,1,6401,sage green,规则生成
