garment_zh	group_zh	option_zh	english_path
衬衫	下摆	圆摆贴三角	shirt/hem-style/shirt-tail-hem-triangle-gusset.png
衬衫	下摆	平摆	shirt/hem-style/straight-hem.jpeg
衬衫	侧缝工艺	手工包缝	shirt/side-seam-finish/hand-felled-side-seam.png
衬衫	前幅门襟	明门襟2.5	shirt/front-placket/front-placket-25mm.jpeg
衬衫	前幅门襟	明门襟默认3.0	shirt/front-placket/front-placket-30mm.jpeg
衬衫	前幅门襟	暗门襟	shirt/front-placket/concealed-placket.jpeg
衬衫	前幅门襟	翻门襟	shirt/front-placket/french-front.jpeg
衬衫	口袋	三角袋	shirt/pocket-style/three-point-pocket.jpeg
衬衫	口袋	六角袋	shirt/pocket-style/six-point-pocket.jpeg
衬衫	口袋	圆口袋	shirt/pocket-style/rounded-pocket.jpeg
衬衫	后幅	后反字折	shirt/back-style/inverted-box-pleat.jpeg
衬衫	后幅	后工字折到底	shirt/back-style/full-length-box-pleat.jpeg
衬衫	后幅	后腰收腰省	shirt/back-style/back-darts.jpeg
衬衫	后幅	工字折	shirt/back-style/box-pleat.png
衬衫	后幅	意式后片碎折	shirt/back-style/italian-back-gathers.jpeg
衬衫	后幅	打双折	shirt/back-style/double-back-pleats.png
衬衫	后幅	无折无省	shirt/back-style/plain-back.jpeg
衬衫	后担干	担干八字拼接	shirt/back-yoke/split-yoke.jpeg
衬衫	后担干	正常担干	shirt/back-yoke/standard-yoke.jpeg
衬衫	字体	509	shirt/monogram-font/font-509.jpeg
衬衫	字体	511	shirt/monogram-font/font-511.jpeg
衬衫	字体	512	shirt/monogram-font/font-512.jpeg
衬衫	字体	图片	shirt/monogram-font/custom-image.jpeg
衬衫	文字位置	口袋	shirt/monogram-position/pocket.jpeg
衬衫	文字位置	后领中	shirt/monogram-position/center-back-collar.jpeg
衬衫	文字位置	左前胸	shirt/monogram-position/left-chest.jpeg
衬衫	文字位置	左袖口中	shirt/monogram-position/center-left-cuff.png
衬衫	文字位置	左袖口左	shirt/monogram-position/left-side-left-cuff.png
衬衫	文字位置	左领尖	shirt/monogram-position/left-collar-point.jpeg
衬衫	文字位置	领下底门襟	shirt/monogram-position/lower-placket-below-collar.jpeg
衬衫	礼服打条	礼服打条	shirt/tuxedo-pleats/tuxedo-front-pleats.jpeg
衬衫	袖口	单层圆角法式	shirt/cuff-style/single-layer-rounded-french-cuff.jpeg
衬衫	袖口	圆角三扣	shirt/cuff-style/rounded-three-button-cuff.png
衬衫	袖口	圆角单扣	shirt/cuff-style/rounded-one-button-cuff.jpeg
衬衫	袖口	圆角双扣	shirt/cuff-style/rounded-two-button-cuff.jpeg
衬衫	袖口	圆角法式袖口	shirt/cuff-style/rounded-french-cuff.jpeg
衬衫	袖口	大圆角	shirt/cuff-style/large-rounded-cuff.png
衬衫	袖口	意式法式袖2#	shirt/cuff-style/italian-french-cuff-style-2.png
衬衫	袖口	意式法式袖3#	shirt/cuff-style/italian-french-cuff-style-3.png
衬衫	袖口	斜角三扣	shirt/cuff-style/angled-three-button-cuff.png
衬衫	袖口	斜角单扣	shirt/cuff-style/angled-one-button-cuff.jpeg
衬衫	袖口	斜角双扣	shirt/cuff-style/angled-two-button-cuff.jpeg
衬衫	袖口	斜角法袖	shirt/cuff-style/angled-french-cuff.png
衬衫	袖口	方角月牙袖口	shirt/cuff-style/square-crescent-cuff.png
衬衫	袖口	直角三扣	shirt/cuff-style/square-three-button-cuff.png
衬衫	袖口	直角单扣	shirt/cuff-style/square-one-button-cuff.jpeg
衬衫	袖口	直角双扣	shirt/cuff-style/square-two-button-cuff.jpeg
衬衫	袖口	直角法式袖	shirt/cuff-style/square-french-cuff.jpeg
衬衫	袖口折	单折	shirt/cuff-pleats/single-cuff-pleat.jpeg
衬衫	袖口折	双折	shirt/cuff-pleats/double-cuff-pleat.png
衬衫	袖口折	意式三折	shirt/cuff-pleats/italian-triple-cuff-pleat.jpeg
衬衫	袖口折	意式碎折	shirt/cuff-pleats/italian-cuff-gathers.png
衬衫	袖山意式碎折	袖山意式碎折	shirt/spalla-camicia/spalla-camicia-gathers.png
衬衫	错位上袖	需要	shirt/offset-sleeve-setting/required.jpeg
衬衫	领型	中八领(7.1)	shirt/collar-style/medium-spread-collar-71mm.jpeg
衬衫	领型	伊顿领(6.0)	shirt/collar-style/eton-rounded-collar-60mm.png
衬衫	领型	古巴领	shirt/collar-style/cuban-collar.png
衬衫	领型	大八领(8.0)	shirt/collar-style/wide-spread-collar-80mm.jpeg
衬衫	领型	大尖领(8.0)	shirt/collar-style/long-point-collar-80mm.jpeg
衬衫	领型	小八领(5.7)	shirt/collar-style/narrow-spread-collar-57mm.jpeg
衬衫	领型	意式一片领(9.5)	shirt/collar-style/italian-one-piece-collar-95mm.png
衬衫	领型	意式温莎领(8.2)	shirt/collar-style/italian-cutaway-collar-82mm.png
衬衫	领型	意式长尖领(10)	shirt/collar-style/italian-long-point-collar-100mm.png
衬衫	领型	标准领	shirt/collar-style/classic-point-collar.jpeg
衬衫	领型	法式温莎领(8.0)	shirt/collar-style/french-cutaway-collar-80mm.jpeg
衬衫	领型	燕子领(5.9)	shirt/collar-style/swallow-collar-59mm.png
衬衫	领型	立领圆角带扣(3.4)	shirt/collar-style/rounded-tab-band-collar-34mm.jpeg
衬衫	领型	针孔领(11.5)	shirt/collar-style/pinhole-collar-115mm.png
衬衫	领型	雅致一字领(8.5×3.5)	shirt/collar-style/extreme-cutaway-collar-85x35mm.jpeg
衬衫	领插片	固定内插片	shirt/collar-stays/sewn-in-collar-stays.png
衬衫	领插片	无插片	shirt/collar-stays/no-collar-stays.png
衬衫	领插片	活动外插片	shirt/collar-stays/removable-collar-stays.png
衬衫	领插片	领尖外扣	shirt/collar-stays/button-down-collar.png
衬衫	领插片	领尖底扣	shirt/collar-stays/hidden-button-down-collar.png
衬衫	鸡爪扣钉	鸡爪扣	shirt/crow-foot-button-stitching/crow-foot-button-stitching.jpg
